Code,Borough,year,Offences,Rate,recordedOffences
E09000020,Kensington and Chelsea,2012,All recorded offences,133.6,20839
E09000021,Kingston upon Thames,2012,All recorded offences,62.2,10198
E09000022,Lambeth,2012,All recorded offences,112.5,34912
E09000023,Lewisham,2012,All recorded offences,87.8,24727
E09000024,Merton,2012,All recorded offences,66.1,13376
E09000025,Newham,2012,All recorded offences,101,31716
E09000026,Redbridge,2012,All recorded offences,78.8,22419
E09000027,Richmond upon Thames,2012,All recorded offences,62.4,11803
E09000028,Southwark,2012,All recorded offences,111.6,32747
E09000029,Sutton,2012,All recorded offences,57.8,11188
E09000030,Tower Hamlets,2012,All recorded offences,110.6,29082
E09000031,Waltham Forest,2012,All recorded offences,93.2,24478
E09000032,Wandsworth,2012,All recorded offences,82.5,25445
E09000033,Westminster,2012,All recorded offences,277,62014
E09000002,Barking and Dagenham,2013,All recorded offences,82.9,16104
E09000003,Barnet,2013,All recorded offences,61.6,22724
E09000004,Bexley,2013,All recorded offences,50,11837
E09000005,Brent,2013,All recorded offences,77.1,24476
E09000006,Bromley,2013,All recorded offences,61.2,19445
E09000007,Camden,2013,All recorded offences,124.7,28646
E09000008,Croydon,2013,All recorded offences,75.7,28202
E09000009,Ealing,2013,All recorded offences,75.6,25886
E09000010,Enfield,2013,All recorded offences,70.6,22631
E09000011,Greenwich,2013,All recorded offences,74.4,19630
E09000012,Hackney,2013,All recorded offences,101.1,26031
E09000013,Hammersmith and Fulham,2013,All recorded offences,106.2,18985
E09000014,Haringey,2013,All recorded offences,83.8,22074
E09000015,Harrow,2013,All recorded offences,50.3,12236
E09000016,Havering,2013,All recorded offences,62.5,15127
E09000017,Hillingdon,2013,All recorded offences,67.2,19268
E09000018,Hounslow,2013,All recorded offences,75,19668
E09000019,Islington,2013,All recorded offences,114.1,24603
E09000020,Kensington and Chelsea,2013,All recorded offences,115.5,17975
E09000021,Kingston upon Thames,2013,All recorded offences,55.7,9288
E09000022,Lambeth,2013,All recorded offences,104.8,32923
E09000023,Lewisham,2013,All recorded offences,78,22327
E09000024,Merton,2013,All recorded offences,57.1,11596
E09000025,Newham,2013,All recorded offences,91,28950
E09000026,Redbridge,2013,All recorded offences,69.5,20044
E09000027,Richmond upon Thames,2013,All recorded offences,55,10518
E09000028,Southwark,2013,All recorded offences,104.5,31195
E09000029,Sutton,2013,All recorded offences,53.1,10401
E09000030,Tower Hamlets,2013,All recorded offences,99.5,27139
E09000031,Waltham Forest,2013,All recorded offences,83.1,22097
E09000032,Wandsworth,2013,All recorded offences,71.6,22241
E09000033,Westminster,2013,All recorded offences,238.3,54054
E09000002,Barking and Dagenham,2014,All recorded offences,81.9,16235
E09000003,Barnet,2014,All recorded offences,61.9,23192
E09000004,Bexley,2014,All recorded offences,51.2,12280
E09000005,Brent,2014,All recorded offences,78.3,25101
E09000006,Bromley,2014,All recorded offences,63.6,20434
E09000007,Camden,2014,All recorded offences,121,28428
E09000008,Croydon,2014,All recorded offences,76.6,28804
E09000009,Ealing,2014,All recorded offences,75.8,25941
E09000010,Enfield,2014,All recorded offences,68.7,22308
E09000011,Greenwich,2014,All recorded offences,78.2,21023
E09000012,Hackney,2014,All recorded offences,97.7,25706
E09000013,Hammersmith and Fulham,2014,All recorded offences,113.6,20259
E09000014,Haringey,2014,All recorded offences,89,23824
E09000015,Harrow,2014,All recorded offences,50.1,12316
E09000016,Havering,2014,All recorded offences,62.4,15358
E09000017,Hillingdon,2014,All recorded offences,75.2,22019
